"id","titulo","anio","ingresos_internacionales","presupuesto","idioma_ingles","pais_fuerte","duracion","duracion_cuadrado","categoria_presupuesto","decada"
"tt0132245","Driven",2001,22024673,9.4e+07,1,0,116,13456,"Alto","2000s"
"tt0133152","Planet of the Apes - Il pianeta delle scimmie",2001,182200000,1e+08,1,1,119,14161,"Muy Alto","2000s"
"tt0133240","Il pianeta del tesoro",2002,71864580,1.4e+08,1,1,95,9025,"Muy Alto","2000s"
"tt0134084","Scream 3",2000,72691101,4e+07,1,1,116,13456,"Medio","2000s"
"tt0134847","Pitch Black",2000,13947000,2.3e+07,1,0,109,11881,"Medio","2000s"
"tt0134983","Supernova",2000,597626,9e+07,1,0,90,8100,"Alto","2000s"
"tt0138524","Prima ti sposo, poi ti rovino",2003,85473615,6e+07,1,1,100,10000,"Alto","2000s"
"tt0138749","La strada per El Dorado",2000,25568985,9.5e+07,1,1,89,7921,"Alto","2000s"
"tt0138946","The Yards",2000,34684,2.4e+07,1,1,115,13225,"Medio","2000s"
"tt0139654","Training Day",2001,28244326,4.5e+07,1,1,122,14884,"Medio","2000s"
"tt0141926","U-571",2000,50544000,6.2e+07,1,0,116,13456,"Alto","2000s"
"tt0144084","American Psycho",2000,19196279,7e+06,1,0,101,10201,"Bajo","2000s"
"tt0144528","La famiglia del professore matto",2000,43030000,8.4e+07,1,1,106,11236,"Alto","2000s"
"tt0144964","Highlander: Endgame",2000,3031750,2.5e+07,1,0,87,7569,"Medio","2000s"
"tt0145487","Spider-Man",2002,418002176,1.39e+08,1,1,121,14641,"Muy Alto","2000s"
"tt0146309","Thirteen Days",2000,31987801,8e+07,1,1,145,21025,"Alto","2000s"
"tt0146316","Lara Croft: Tomb Raider",2001,143535270,1.15e+08,1,0,100,10000,"Muy Alto","2000s"
"tt0146882","Alta fedeltÃ ",2000,19839158,3e+07,1,0,113,12769,"Medio","2000s"
"tt0146984","La leggenda di Bagger Vance",2000,8540259,8e+07,1,1,126,15876,"Alto","2000s"
"tt0149624","Passione ribelle",2000,2593142,5.7e+07,1,1,116,13456,"Alto","2000s"
"tt0156812","Il mio cane Skip",2000,1413120,6e+06,1,1,95,9025,"Bajo","2000s"
"tt0156841","Sai che c'Ã¨ di nuovo?",2000,9372190,2.5e+07,1,1,108,11664,"Medio","2000s"
"tt0157262","2001: Un'astronave spuntata nello spazio",2000,162487.8,4.5e+07,1,0,99,9801,"Medio","2000s"
"tt0157472","Clockstoppers",2002,1803327,2.6e+07,1,1,94,8836,"Medio","2000s"
"tt0158622","I Flintstones in Viva Rock Vegas",2000,24200000,8.3e+07,1,1,90,8100,"Alto","2000s"
"tt0159273","Behind Enemy Lines - Dietro le linee nemiche",2001,32896412,4e+07,1,1,106,11236,"Medio","2000s"
"tt0159365","Ritorno a Cold Mountain",2003,77377000,7.9e+07,1,0,154,23716,"Alto","2000s"
"tt0160009","L'arte della guerra",2000,10191826,6e+07,1,0,117,13689,"Alto","2000s"
"tt0160127","Charlie's Angels",2000,138800000,9.3e+07,1,0,98,9604,"Alto","2000s"
"tt0160184","D-Tox",2002,6553222,5.5e+07,1,0,96,9216,"Alto","2000s"
"tt0160399","Impostor",2001,2409144,3e+07,1,1,95,9025,"Medio","2000s"
"tt0160484","Lost Souls - La profezia",2000,14540657,5e+07,1,1,97,9409,"Alto","2000s"
"tt0160797","Regole d'onore",2000,10397073,6e+07,1,0,128,16384,"Alto","2000s"
"tt0161081","Le veritÃ  nascoste",2000,135956000,1e+08,1,1,130,16900,"Muy Alto","2000s"
"tt0161083","Lo scroccone e il ladro",2001,6194297,6e+07,1,1,94,8836,"Alto","2000s"
"tt0162222","Cast Away",2000,1.96e+08,9e+07,1,1,143,20449,"Alto","2000s"
"tt0162346","Ghost World",2001,2546158,7e+06,1,0,111,12321,"Bajo","2000s"
"tt0162650","Shaft",2000,37291867,4.6e+07,1,0,99,9801,"Medio","2000s"
"tt0162983","Avviso di chiamata",2000,15829814,6e+07,1,0,94,8836,"Alto","2000s"
"tt0163025","Jurassic Park III",2001,187608934,9.3e+07,1,1,92,8464,"Alto","2000s"
"tt0163978","The Beach",2000,104271846,5e+07,1,0,119,14161,"Alto","2000s"
"tt0163983","La mossa del diavolo",2000,11061516,6.5e+07,1,0,107,11449,"Alto","2000s"
"tt0164052","L'uomo senza ombra",2000,117004115,9.5e+07,1,0,112,12544,"Alto","2000s"
"tt0164184","Al vertice della tensione",2002,75014336,6.8e+07,1,0,124,15376,"Alto","2000s"
"tt0164212","Under Suspicion",2000,1047680,2.5e+07,1,0,110,12100,"Medio","2000s"
"tt0164334","Nella morsa del ragno",2001,31100387,6e+07,1,0,104,10816,"Alto","2000s"
"tt0165832","Interstate 60",2002,5069.4,7e+06,1,0,116,13456,"Bajo","2000s"
"tt0165929","Romeo deve morire",2000,35063424,2.5e+07,1,1,115,13225,"Medio","2000s"
"tt0165982","Sinbad - La leggenda dei sette mari",2003,54289625,6e+07,1,1,88,7744,"Alto","2000s"
"tt0166276","Monkeybone",2001,2210366,7.5e+07,1,1,93,8649,"Alto","2000s"
"tt0166813","Spirit - Cavallo selvaggio",2002,49283422,8e+07,1,1,83,6889,"Alto","2000s"
"tt0166924","Mulholland Drive",2001,12909314,1.5e+07,1,0,147,21609,"Medio","2000s"
"tt0167190","Hellboy",2004,39755027,6.6e+07,1,1,122,14884,"Alto","2000s"
"tt0167260","Il Signore degli Anelli - Il ritorno del re",2003,764425193,9.4e+07,1,0,201,40401,"Alto","2000s"
"tt0167261","Il Signore degli Anelli - Le due torri",2002,608676051,9.4e+07,1,0,179,32041,"Alto","2000s"
"tt0167456","Thunderbirds",2004,21402720,5.7e+07,1,0,95,9025,"Alto","2000s"
"tt0168629","Dancer in the Dark",2000,35847843,12800000,1,0,140,19600,"Medio","2000s"
"tt0168786","Antwone Fisher",2002,2289441,12500000,1,1,120,14400,"Medio","2000s"
"tt0169102","Lagaan - C'era una volta in India",2001,815763,6e+06,0,1,224,50176,"Bajo","2000s"
"tt0170016","Il Grinch",2000,85096578,1.23e+08,1,0,104,10816,"Muy Alto","2000s"
"tt0170691","Tigerland",2000,9009,1e+07,1,0,101,10201,"Medio","2000s"
"tt0171433","Tentazioni d'amore",2000,22897303,2.9e+07,1,1,128,16384,"Medio","2000s"
"tt0171580","Betty Love",2000,4194935,3.5e+07,1,0,110,12100,"Medio","2000s"
"tt0172156","Bad Boys II",2003,134731112,1.3e+08,1,1,147,21609,"Muy Alto","2000s"
"tt0172495","Il gladiatore",2000,277655749,1.03e+08,1,0,155,24025,"Muy Alto","2000s"
"tt0173716","A morte Hollywood",2000,676898,1e+07,1,0,87,7569,"Medio","2000s"
"tt0173840","Final Fantasy",2001,5.3e+07,1.37e+08,1,0,106,11236,"Muy Alto","2000s"
"tt0174480","Autumn in New York",2000,52964753,6.5e+07,1,1,103,10609,"Alto","2000s"
"tt0175142","Scary Movie - Senza paura, senza vergogna... senza cervello!",2000,1.21e+08,1.9e+07,1,1,88,7744,"Medio","2000s"
"tt0176783","Gossip",2000,7482450,2.4e+07,1,1,90,8100,"Medio","2000s"
"tt0177971","La tempesta perfetta",2000,146100000,1.4e+08,1,1,130,16900,"Muy Alto","2000s"
"tt0179098","Moonlight Mile - Voglia di ricominciare",2002,3175194,2.1e+07,1,1,117,13689,"Medio","2000s"
"tt0179626","15 minuti - Follia omicida a New York",2001,31956428,6e+07,1,0,120,14400,"Alto","2000s"
"tt0180052","Pluto Nash",2002,2683893,1e+08,1,0,95,9025,"Muy Alto","2000s"
"tt0180073","Quills - La penna dello scandalo",2000,10923895,13500000,1,0,124,15376,"Medio","2000s"
"tt0180093","Requiem for a Dream",2000,3754626,4500000,1,1,102,10404,"Bajo","2000s"
"tt0180734","Hardball",2001,3879660,3.2e+07,1,0,106,11236,"Medio","2000s"
"tt0181536","Scoprendo Forrester",2000,28245050,4.3e+07,1,1,136,18496,"Medio","2000s"
"tt0181689","Minority Report",2002,226300000,1.02e+08,1,1,145,21025,"Muy Alto","2000s"
"tt0181739","Osmosis Jones",2001,429507,7e+07,1,1,95,9025,"Alto","2000s"
"tt0181852","Terminator 3 - Le macchine ribelli",2003,2.83e+08,2e+08,1,0,109,11881,"Muy Alto","2000s"
"tt0181865","Traffic",2000,83400000,4.8e+07,1,0,147,21609,"Medio","2000s"
"tt0181875","Quasi famosi",2000,14848839,6e+07,1,1,122,14884,"Alto","2000s"
"tt0181984","1 km da Wall Street",2000,11809674,7e+06,1,1,120,14400,"Bajo","2000s"
"tt0183505","Io, me & Irene",2000,58700000,5.1e+07,1,1,116,13456,"Alto","2000s"
"tt0183523","Mission to Mars",2000,50100000,1e+08,1,0,114,12996,"Muy Alto","2000s"
"tt0183649","In linea con l'assassino",2002,51270926,1.3e+07,1,1,81,6561,"Medio","2000s"
"tt0183659","Pollock",2000,2395940,6e+06,1,1,122,14884,"Bajo","2000s"
"tt0183790","Il destino di un cavaliere",2001,60917771,6.5e+07,1,1,132,17424,"Alto","2000s"
"tt0184791","O come Otello",2001,3235100,5e+06,1,1,95,9025,"Bajo","2000s"
"tt0184858","Trappola criminale",2000,8799975,4.2e+07,1,1,104,10816,"Medio","2000s"
"tt0184894","Pallottole cinesi",2000,42336965,5.5e+07,1,0,110,12100,"Alto","2000s"
"tt0184907","Snow Day",2000,2444624,1.3e+07,1,1,89,7921,"Medio","2000s"
"tt0185014","Wonder Boys",2000,14033031,5.5e+07,1,0,107,11449,"Alto","2000s"
"tt0185183","Battaglia per la Terra - Una saga dell'anno 3000",2000,8253978,7.3e+07,1,1,118,13924,"Alto","2000s"
"tt0185431","Little Nicky - Un diavolo a Manhattan",2000,18827520,8.5e+07,1,1,90,8100,"Alto","2000s"
"tt0186045","Chi ha ucciso la signora Dearly?",2000,403340,3.7e+07,1,1,96,9216,"Medio","2000s"
"tt0186151","Frequency - Il futuro Ã¨ in ascolto",2000,23095967,3.1e+07,1,1,118,13924,"Medio","2000s"
"tt0186566","Space Cowboys",2000,38419359,6.5e+07,1,1,130,16900,"Alto","2000s"
"tt0186589","Le insolite sospette - Sugar & Spice",2001,3618660,2.7e+07,1,1,81,6561,"Medio","2000s"
"tt0186894","Bounce",2000,16620004,3.5e+07,1,1,106,11236,"Medio","2000s"
"tt0186975","Pazzo di te",2000,4350906,1.1e+07,1,1,91,8281,"Medio","2000s"
"tt0187078","Fuori in 60 secondi",2000,135553728,9e+07,1,1,118,13924,"Alto","2000s"
"tt0187393","Il patriota",2000,101964000,1.1e+08,1,0,165,27225,"Muy Alto","2000s"
"tt0187738","Blade II",2002,72661713,5.4e+07,1,0,117,13689,"Alto","2000s"
"tt0188453","Birthday Girl",2001,11028522,1.3e+07,1,0,93,8649,"Medio","2000s"
"tt0189192","I visitatori alla conquista dell'America",2001,11395193,3.5e+07,1,0,88,7744,"Medio","2000s"
"tt0189998","L'ombra del vampiro",2000,2861430,8e+06,1,0,92,8464,"Bajo","2000s"
"tt0190138","FBI - Protezione testimoni",2000,49109159,41300000,1,1,98,9604,"Medio","2000s"
"tt0190332","La tigre e il dragone",2000,85446864,1.7e+07,0,0,120,14400,"Medio","2000s"
"tt0190374","Dungeons & Dragons",2000,18586724,4.5e+07,1,0,107,11449,"Medio","2000s"
"tt0190590","Fratello, dove sei?",2000,26355739,2.6e+07,1,0,107,11449,"Medio","2000s"
"tt0190865","Vertical Limit",2000,146420000,7.5e+07,1,0,124,15376,"Alto","2000s"
"tt0191397","Le riserve",2000,5317452,5e+07,1,1,118,13924,"Alto","2000s"
"tt0191754","28 giorni",2000,25028457,4.3e+07,1,1,103,10609,"Medio","2000s"
"tt0192071","Get Over It",2001,8323902,2.2e+07,1,1,87,7569,"Medio","2000s"
"tt0192111","Top model per caso",2001,2702552,1.4e+07,1,1,86,7396,"Medio","2000s"
"tt0192614","The Skulls - I teschi",2000,15756000,3.5e+07,1,0,106,11236,"Medio","2000s"
"tt0192731","Urban Legend: Final Cut",2000,17105555,1.4e+07,1,0,97,9409,"Medio","2000s"
"tt0195234","L'erba di Grace",2000,16562728,1e+07,1,1,93,8649,"Medio","2000s"
"tt0195685","Erin Brockovich - Forte come la veritÃ ",2000,130676081,5.2e+07,1,1,131,17161,"Alto","2000s"
"tt0195714","Final Destination",2000,59549147,2.3e+07,1,1,98,9604,"Medio","2000s"
"tt0195945","Next Friday",2000,2498725,1.1e+07,1,1,98,9604,"Medio","2000s"
"tt0196216","Criminali da strapazzo",2000,12668118,2.5e+07,1,1,94,8836,"Medio","2000s"
"tt0196229","Zoolander",2001,15608731,2.8e+07,1,0,90,8100,"Medio","2000s"
"tt0198021","Qui dove batte il cuore",2000,7090880,1.5e+07,1,1,120,14400,"Medio","2000s"
"tt0198781","Monsters & Co.",2001,289064814,1.15e+08,1,1,92,8464,"Muy Alto","2000s"
"tt0199626","In the Cut",2003,18976191,1.2e+07,1,0,119,14161,"Medio","2000s"
"tt0199725","Love & Basketball",2000,268503,2e+07,1,1,124,15376,"Medio","2000s"
"tt0199753","Pianeta rosso",2000,15983079,8e+07,1,0,106,11236,"Alto","2000s"
"tt0200027","I ragazzi della mia vita",2001,5577772,4.8e+07,1,1,132,17424,"Medio","2000s"
"tt0200465","La rapina perfetta",2008,34767761,2e+07,1,0,111,12321,"Medio","2000s"
"tt0200550","Le ragazze del Coyote Ugly",2000,53130205,4.5e+07,1,1,100,10000,"Medio","2000s"
"tt0202470","Rock Star",2001,2325863,5.7e+07,1,1,105,11025,"Alto","2000s"
"tt0202677","Le vie della violenza",2000,7145311,8500000,1,1,119,14161,"Bajo","2000s"
"tt0203009","Moulin Rouge!",2001,127548423,5e+07,1,0,127,16129,"Alto","2000s"
"tt0203019","Men of Honor - L'onore degli uomini",2000,33524574,3.2e+07,1,1,129,16641,"Medio","2000s"
"tt0203230","Conta su di me",2000,1825717,1200000,1,1,111,12321,"Bajo","2000s"
"tt0203755","Un corpo da reato",2001,7287513,1.8e+07,1,1,93,8649,"Medio","2000s"
"tt0204175","Boys & girls - Attenzione: il sesso cambia tutto",2000,4050963,3.5e+07,1,1,94,8836,"Medio","2000s"
"tt0204313","L'esorcista - La genesi",2004,36288035,8e+07,1,1,114,12996,"Alto","2000s"
"tt0204626","The Watcher",2000,18321214,3e+07,1,1,97,9409,"Medio","2000s"
"tt0204946","Ragazze nel pallone",2000,22070929,1.1e+07,1,1,98,9604,"Medio","2000s"
"tt0205271","Il dottor T & le donne",2000,9731250,2.3e+07,1,0,122,14884,"Medio","2000s"
"tt0206275","Save the Last Dance",2001,40649803,1.3e+07,1,1,112,12544,"Medio","2000s"
"tt0206314","Radio Killer",2001,14667919,2.3e+07,1,1,97,9409,"Medio","2000s"
"tt0206634","I figli degli uomini",2006,35043081,7.6e+07,1,0,109,11881,"Alto","2000s"
"tt0207201","What Women Want - Quello che le donne vogliono",2000,191300000,7e+07,1,1,127,16129,"Alto","2000s"
"tt0208003","Big Mama",2000,56400000,3e+07,1,0,99,9801,"Medio","2000s"
"tt0208874","The Contender",2000,4556267,2e+07,1,0,126,15876,"Medio","2000s"
"tt0208988","La vendetta di Carter",2000,4445811,63600000,1,1,102,10404,"Alto","2000s"
"tt0209144","Memento",2000,14425519,9e+06,1,1,113,12769,"Bajo","2000s"
"tt0209163","La mummia - Il ritorno",2001,241261119,9.8e+07,1,1,130,16900,"Alto","2000s"
"tt0209475","Prima o poi mi sposo",2001,34327673,3.5e+07,1,0,103,10609,"Medio","2000s"
"tt0209958","The Cell - La cellula",2000,42821784,3.3e+07,1,0,107,11449,"Medio","2000s"
"tt0210616","Il ritmo del successo",2000,9185016,2.9e+07,1,1,115,13225,"Medio","2000s"
"tt0210945","Il sapore della vittoria - Uniti si vince",2000,21051932,3e+07,1,1,113,12769,"Medio","2000s"
"tt0211181","La carica dei 102 - Un nuovo colpo di coda",2000,116654745,8.5e+07,1,0,100,10000,"Alto","2000s"
"tt0211443","Jason X",2001,3956327,1.1e+07,1,0,91,8281,"Medio","2000s"
"tt0211915","Il favoloso mondo di AmÃ©lie",2001,140699243,1e+07,0,0,122,14884,"Medio","2000s"
"tt0211933","Awake - Anestesia cosciente",2007,18352864,8600000,1,1,84,7056,"Bajo","2000s"
"tt0211938","Bait - L'esca",2000,146842,5.1e+07,1,0,119,14161,"Alto","2000s"
"tt0212338","Ti presento i miei",2000,164200000,5.5e+07,1,1,108,11664,"Alto","2000s"
"tt0212346","Miss Detective",2000,105935053,4.5e+07,1,1,109,11881,"Medio","2000s"
"tt0212712","2046",2004,18025651,1.2e+07,0,0,129,16641,"Medio","2000s"
"tt0212720","A.I. - Intelligenza artificiale",2001,157309863,1e+08,1,0,146,21316,"Muy Alto","2000s"
"tt0212985","Hannibal",2001,186600000,8.7e+07,1,0,131,17161,"Alto","2000s"
"tt0213149","Pearl Harbor",2001,250678391,1.4e+08,1,1,183,33489,"Muy Alto","2000s"
"tt0213203","Rugrats in Paris: The Movie - Rugrats II",2000,26783375,3e+07,1,0,78,6084,"Medio","2000s"
"tt0213790","The Ladies Man",2000,126602,2.4e+07,1,1,84,7056,"Medio","2000s"
"tt0213890","Mohabbatein",2000,3209351,4e+06,0,1,216,46656,"Bajo","2000s"
"tt0215129","Road Trip",2000,51213501,1.6e+07,1,1,93,8649,"Medio","2000s"
"tt0215545","Bamboozled",2000,188671,1e+07,1,1,135,18225,"Medio","2000s"
"tt0215750","Il nemico alle porte",2001,45574512,6.8e+07,1,0,131,17161,"Alto","2000s"
"tt0216216","Il 6Â° giorno",2000,61481197,8.2e+07,1,1,123,15129,"Alto","2000s"
"tt0217505","Gangs of New York",2002,115960504,1e+08,1,0,167,27889,"Muy Alto","2000s"
"tt0217630","American School",2000,2786080,2e+07,1,1,98,9604,"Medio","2000s"
"tt0217756","Pronti alla rissa",2000,58035,2.4e+07,1,1,107,11449,"Medio","2000s"
"tt0217869","Unbreakable - Il predestinato",2000,153106782,7.5e+07,1,1,106,11236,"Alto","2000s"
"tt0218817","S.Y.N.A.P.S.E. - Pericolo in rete",2001,6867516,3e+07,1,1,108,11664,"Medio","2000s"
"tt0218839","Campioni di razza",2000,2074164,1e+07,1,1,90,8100,"Medio","2000s"
"tt0218922","Original Sin",2001,18868099,4.2e+07,1,0,116,13456,"Medio","2000s"
"tt0218967","The Family Man",2000,48951778,6e+07,1,1,125,15625,"Alto","2000s"
"tt0219653","Dracula's Legacy - Il fascino del male",2000,14030858,5.4e+07,1,1,99,9801,"Alto","2000s"
"tt0219699","The Gift - Il dono",2000,32558964,1e+07,1,1,112,12544,"Medio","2000s"
"tt0219854","Faccia a faccia",2000,40625631,6.5e+07,1,1,104,10816,"Alto","2000s"
"tt0219965","Bandits",2001,26056762,7.5e+07,1,1,123,15129,"Alto","2000s"
"tt0220099","T come Tigro... e tutti gli amici di Winnie the Pooh",2000,50605267,3e+07,1,0,77,5929,"Medio","2000s"
"tt0220506","Halloween - La resurrezione",2002,7310413,1.3e+07,1,1,94,8836,"Medio","2000s"
"tt0221027","Blow",2001,30291521,5.3e+07,1,0,124,15376,"Alto","2000s"
"tt0221218","Prigione di vetro",2001,5469350,3e+07,1,1,106,11236,"Medio","2000s"
"tt0222812","Beyond Re-Animator",2003,181551.6,3e+06,1,0,96,9216,"Bajo","2000s"
"tt0222851","Brother",2000,14800000,1e+07,1,0,114,12996,"Medio","2000s"
"tt0223897","Un sogno per domani",2000,22187783,4e+07,1,1,123,15129,"Medio","2000s"
"tt0225071","Angel Eyes - Occhi d'angelo",2001,5541388,5.3e+07,1,1,102,10404,"Alto","2000s"
"tt0227005","Made - Due Imbroglioni a New York",2001,167353,5e+06,1,1,95,9025,"Bajo","2000s"
"tt0227445","The Score",2001,43144443,6.8e+07,1,0,124,15376,"Alto","2000s"
"tt0227538","Spy Kids",2001,35215179,3.5e+07,1,1,88,7744,"Medio","2000s"
"tt0227984","Codice 51",2001,7677598,2.7e+07,1,0,93,8649,"Medio","2000s"
"tt0228333","Fantasmi da Marte",2001,5301192,2.8e+07,1,1,98,9604,"Medio","2000s"
"tt0228750","Rapimento e riscatto",2000,30162074,6.5e+07,1,1,135,18225,"Alto","2000s"
"tt0228786","I fiumi di porpora",2000,59508714,1.4e+07,0,1,106,11236,"Medio","2000s"
"tt0229260","Il libro segreto delle streghe: Blair Witch 2",2000,21300000,1.5e+07,1,1,90,8100,"Medio","2000s"
"tt0230011","Atlantis - L'impero perduto",2001,101997253,1.2e+08,1,1,95,9025,"Muy Alto","2000s"
"tt0230030","Indiavolato",2000,52496228,4.8e+07,1,0,93,8649,"Medio","2000s"
"tt0230600","The Others",2001,113424350,1.7e+07,1,0,101,10201,"Medio","2000s"
"tt0230838","Sweet November - Dolce novembre",2001,40466125,4e+07,1,1,119,14161,"Medio","2000s"
"tt0231402","Crocodile Dundee 3",2001,13802992,21150000,1,0,92,8464,"Medio","2000s"
"tt0231775","Down to Earth",2001,7e+06,4.9e+07,1,0,87,7569,"Medio","2000s"
"tt0232500","Fast and Furious",2001,69940670,3.8e+07,1,0,106,11236,"Medio","2000s"
"tt0233142","La rapina",2001,2970216,6.2e+07,1,1,125,15625,"Alto","2000s"
"tt0233469","Danni collaterali",2002,38305176,8.5e+07,1,0,108,11664,"Alto","2000s"
"tt0234215","Matrix Reloaded",2003,460271429,1.5e+08,1,1,138,19044,"Muy Alto","2000s"
"tt0234354","Novocaine",2001,497690,8e+06,1,1,95,9025,"Bajo","2000s"
"tt0234829","Il sogno di una estate",2001,18894,3.4e+07,1,1,104,10816,"Medio","2000s"
"tt0235679","PokÃ©mon 3: L'incantesimo degli Unown",2000,51359147,1.6e+07,0,1,93,8649,"Medio","2000s"
"tt0235737","Salton Sea - Incubi e menzogne",2002,308644,1.8e+07,1,1,103,10609,"Medio","2000s"
"tt0236348","Josie and the Pussycats",2001,595000,3.9e+07,1,0,98,9604,"Medio","2000s"
"tt0236493","The Mexican - Amore senza la sicura",2001,8.1e+07,5.7e+07,1,0,123,15129,"Alto","2000s"
"tt0236640","Prozac Nation",2001,77618.4,9e+06,1,0,95,9025,"Bajo","2000s"
"tt0236784","Il sarto di Panama",2001,14278720,2.1e+07,1,0,109,11881,"Medio","2000s"
"tt0237534","Il patto dei lupi",2001,59492808,2.9e+07,0,1,142,20164,"Medio","2000s"
"tt0237572","La promessa",2001,9686202,3.5e+07,1,1,124,15376,"Medio","2000s"
"tt0238112","Il mandolino del capitano Corelli",2001,36569000,5.7e+07,1,0,131,17161,"Alto","2000s"
"tt0238380","Equilibrium",2002,4164423,2e+07,1,1,107,11449,"Medio","2000s"
"tt0238546","La regina dei dannati",2002,15142310,3.5e+07,1,0,101,10201,"Medio","2000s"
"tt0238552","The Replicant",2001,536906.4,1.7e+07,1,1,100,10000,"Medio","2000s"
"tt0238924","The Dangerous Lives of Altar Boys",2002,220735,1.2e+07,1,1,104,10816,"Medio","2000s"
"tt0239395","Come cani & gatti",2001,107301977,6e+07,1,0,87,7569,"Alto","2000s"
"tt0239948","Assatanata",2001,6684676,2.2e+07,1,0,90,8100,"Medio","2000s"
"tt0239949","Dimmi che non Ã¨ vero",2001,6800000,2.5e+07,1,1,95,9025,"Medio","2000s"
"tt0240462","Il dottor Dolittle 2",2001,63151445,7e+07,1,1,87,7569,"Alto","2000s"
"tt0240468","Kung Pow",2002,956663,1e+07,1,0,81,6561,"Medio","2000s"
"tt0240510","Le quattro piume",2002,11576479,3.5e+07,1,0,132,17424,"Medio","2000s"
"tt0240515","Freddy Got Fingered",2001,88035,1.4e+07,1,1,87,7569,"Medio","2000s"
"tt0240772","Ocean's Eleven - Fate il vostro gioco",2001,267300000,8.5e+07,1,1,116,13456,"Alto","2000s"
"tt0240890","Serendipity - Quando l'amore Ã¨ magia",2001,27221987,2.8e+07,1,0,90,8100,"Medio","2000s"
"tt0240900","Slackers",2002,1127974,1.4e+07,1,0,86,7396,"Medio","2000s"
"tt0241025","La fiera della vanitÃ ",2004,3326709,2.3e+07,1,0,141,19881,"Medio","2000s"
"tt0241303","Chocolat",2000,81190583,2.5e+07,1,0,121,14641,"Medio","2000s"
"tt0241527","Harry Potter e la pietra filosofale",2001,683898228,1.25e+08,1,0,152,23104,"Muy Alto","2000s"
"tt0241760","Un ragazzo tutto nuovo",2002,1407236,1.3e+07,1,1,88,7744,"Medio","2000s"
"tt0242423","Fatti, strafatti e strafighe",2000,26450923,1.3e+07,1,1,83,6889,"Medio","2000s"
"tt0242445","Ferite mortali",2001,28200000,5e+07,1,0,101,10201,"Alto","2000s"
"tt0242653","Matrix Revolutions",2003,288030116,1.5e+08,1,1,129,16641,"Muy Alto","2000s"
"tt0242998","Valentine - Appuntamento con la morte",2001,16300000,2.9e+07,1,1,96,9216,"Medio","2000s"
"tt0243133","L'uomo che non c'era",2001,11412366,2e+07,1,0,116,13456,"Medio","2000s"
"tt0243155","Il diario di Bridget Jones",2001,210386368,2.5e+07,1,0,97,9409,"Medio","2000s"
"tt0243585","Stuart Little 2",2002,1.05e+08,1.2e+08,1,1,77,5929,"Muy Alto","2000s"
"tt0243736","40 giorni & 40 notti",2002,57195461,1.7e+07,1,0,96,9216,"Medio","2000s"
"tt0243862","Italiano per principianti",2000,11806123,1e+06,0,0,118,13924,"Bajo","2000s"
"tt0244000","Gli ultimi fuorilegge",2001,336123,3.5e+07,1,1,94,8836,"Medio","2000s"
